rank,name,year,backhand
9,Thomas Enqvist,2000,Two-handed
10,Tim Henman,2000,One-handed
1,Lleyton Hewitt,2001,Two-handed
2,Gustavo Kuerten,2001,One-handed
3,Andre Agassi,2001,Two-handed
4,Yevgeny Kafelnikov,2001,Two-handed
5,Juan Carlos Ferrero,2001,Two-handed
6,Sebastien Grosjean,2001,Two-handed
7,Patrick Rafter,2001,One-handed
8,Tommy Haas,2001,One-handed
9,Tim Henman,2001,One-handed
10,Pete Sampras,2001,One-handed
1,Lleyton Hewitt,2002,Two-handed
2,Andre Agassi,2002,Two-handed
3,Marat Safin,2002,Two-handed
4,Juan Carlos Ferrero,2002,Two-handed
5,Carlos Moya,2002,Two-handed
6,Roger Federer,2002,One-handed
7,Jiri Novak,2002,Two-handed
8,Tim Henman,2002,One-handed
9,Albert Costa,2002,One-handed
10,Andy Roddick,2002,Two-handed
1,Andy Roddick,2003,Two-handed
2,Roger Federer,2003,One-handed
3,Juan Carlos Ferrero,2003,Two-handed
4,Andre Agassi,2003,Two-handed
5,Guillermo Coria,2003,Two-handed
6,Rainer Schuettler,2003,Two-handed
7,Carlos Moya,2003,Two-handed
8,David Nalbandian,2003,Two-handed
9,Mark Philippoussis,2003,One-handed
10,Sebastien Grosjean,2003,Two-handed
1,Roger Federer,2004,One-handed
2,Andy Roddick,2004,Two-handed
3,Lleyton Hewitt,2004,Two-handed
4,Marat Safin,2004,Two-handed
5,Carlos Moya,2004,Two-handed
6,Tim Henman,2004,One-handed
7,Guillermo Coria,2004,Two-handed
8,Andre Agassi,2004,Two-handed
9,David Nalbandian,2004,Two-handed
10,Gaston Gaudio,2004,One-handed
1,Roger Federer,2005,One-handed
2,Rafael Nadal,2005,Two-handed
3,Andy Roddick,2005,Two-handed
4,Lleyton Hewitt,2005,Two-handed
5,Nikolay Davydenko,2005,Two-handed
6,David Nalbandian,2005,Two-handed
7,Andre Agassi,2005,Two-handed
8,Guillermo Coria,2005,Two-handed
9,Ivan Ljubicic,2005,One-handed
10,Gaston Gaudio,2005,One-handed
1,Roger Federer,2006,One-handed
2,Rafael Nadal,2006,Two-handed
3,Nikolay Davydenko,2006,Two-handed
4,James Blake,2006,One-handed
5,Ivan Ljubicic,2006,One-handed
6,Andy Roddick,2006,Two-handed
7,Tommy Robredo,2006,One-handed
